case_id,act_name
1,ab
1,f
1,ae
1,h
1,b
1,ag
1,ah
1,c
1,h
1,ah
1,h
1,ah
1,h
1,ai
1,n
1,y
1,h
1,ah
1,h
1,ai
1,o
1,w
1,ap
2,d
2,al
2,h
2,i
2,ai
2,k
2,n
2,x
2,g
2,ad
2,n
2,e
2,x
2,c
2,n
2,x
2,n
2,x
2,n
2,x
2,n
2,y
2,h
2,ai
2,o
2,w
3,ab
3,f
3,ae
3,p
3,ag
3,c
4,i
4,a
4,al
4,aa
4,d
4,k
4,g
4,g
4,ad
4,e
4,c
5,h
5,ai
5,d
5,o
5,g
5,w
5,i
5,al
5,k
5,d
5,ad
5,e
5,c
6,g
6,a
6,t
6,a
6,g
6,t
6,a
6,d
6,i
6,al
6,u
6,k
6,e
6,ad
6,c
7,q
7,p
7,f
7,c
8,p
8,g
8,e
8,c
9,h
9,f
9,q
9,ai
9,c
9,n
9,y
9,h
9,ai
9,o
9,w
10,d
10,r
10,j
10,ac
10,e
10,z
10,am
10,ac
10,ad
10,v
10,j
10,ar
10,c
10,am
10,ao
10,ac
10,am
10,ac
10,am
10,ac
10,am
10,ac
10,an
10,ak
10,l
10,ac
10,j
10,an
10,r
10,ak
10,z
10,v
10,j
10,ao
10,ar
10,l
10,ac
10,an
10,r
10,j
10,z
10,ak
10,j
10,v
10,ar
10,ao
10,m
11,j
11,ac
11,al
11,i
11,r
11,ao
11,z
11,v
11,k
11,an
11,ad
11,e
11,aj
11,ar
11,ac
11,c
11,an
11,ak
11,l
11,ac
11,an
11,r
11,j
11,ao
11,z
11,v
11,ak
11,ar
11,l
11,r
11,ac
11,z
11,j
11,v
11,an
11,j
11,aq
11,aj
11,ac
11,ao
11,v
11,am
11,ac
11,aq
11,an
11,v
11,ak
11,ar
11,m
12,p
12,q
12,f
12,c
13,h
13,al
13,ah
13,d
13,i
13,h
13,k
13,e
13,c
13,ah
13,h
13,ah
13,h
13,ai
13,n
13,y
13,h
13,ai
13,o
13,w
13,ap
14,ac
14,r
14,j
14,d
14,i
14,z
14,al
14,k
14,an
14,e
14,v
14,ar
14,ak
14,j
14,ad
14,ao
14,c
14,m
15,r
15,z
15,f
15,j
15,ab
15,s
15,ac
15,v
15,ao
15,aq
15,v
15,c
15,an
15,aq
15,ak
15,v
15,aq
15,v
15,ar
15,l
15,j
15,ac
15,r
15,am
15,ac
15,j
15,z
15,v
15,an
15,ak
15,aq
15,v
15,ar
15,j
15,ao
15,l
15,r
15,z
15,j
15,v
15,ac
15,ar
15,ao
15,an
15,ak
15,m
16,g
16,ad
16,c
16,h
16,ai
16,o
16,w
16,ap
17,q
17,h
17,f
17,ah
17,c
17,h
17,ai
17,n
17,y
17,h
17,ah
17,h
17,ah
17,h
17,ai
17,o
17,w
17,ap
18,f
18,a
18,t
18,q
18,c
18,a
18,t
18,a
18,t
18,a
18,t
18,a
18,t
18,a
18,u
18,aa
19,a
19,ae
19,u
19,ag
19,f
19,ab
19,c
20,h
20,g
20,ah
20,h
20,ad
20,e
20,ai
20,c
20,n
20,y
20,h
20,ai
20,o
20,w
20,ap
21,p
21,ab
21,b
21,s
21,f
21,c
22,p
22,b
22,f
22,ab
22,s
22,c
23,j
23,d
23,ao
23,ac
23,r
23,am
23,z
23,d
23,d
23,v
23,i
23,ac
23,al
23,ar
23,am
23,k
23,ac
23,ad
23,am
23,ac
23,c
23,am
23,ac
23,am
23,ac
23,am
23,ac
23,am
23,ac
23,an
23,ak
23,m
24,g
24,p
24,i
24,al
24,k
24,e
24,c
25,ac
25,j
25,r
25,al
25,i
25,d
25,z
25,an
25,aj
25,j
25,ao
25,v
25,k
25,ar
25,ac
25,e
25,am
25,c
25,ac
25,an
25,aj
25,ac
25,am
25,ac
25,an
25,ak
25,m
26,a
26,q
26,f
26,t
26,a
26,c
26,u
26,aa
27,p
27,i
27,al
27,d
27,k
27,g
27,ad
27,e
27,c
28,r
28,ac
28,j
28,z
28,d
28,an
28,v
28,ak
28,ao
28,ar
28,g
28,e
28,c
28,m
29,h
29,f
29,ah
29,q
29,h
29,c
29,ah
29,h
29,ah
29,h
29,ai
29,o
29,w
30,ac
30,d
30,al
30,r
30,j
30,i
30,ao
30,am
30,k
30,z
30,e
30,c
30,v
30,ac
30,aq
30,v
30,an
30,aj
30,aq
30,v
30,ac
30,am
30,aq
30,ac
30,v
30,ar
30,am
30,ac
30,am
30,ac
30,am
30,ac
30,am
30,ac
30,an
30,ak
30,m
31,q
31,f
31,c
31,a
31,t
31,a
31,u
31,aa
32,g
32,a
32,i
32,t
32,al
32,a
32,aa
32,k
32,g
32,al
32,i
32,k
32,u
32,d
32,e
32,c
33,p
33,g
33,e
33,ad
33,c
34,f
34,b
34,c
34,p
35,s
35,ab
35,h
35,f
35,ai
35,b
35,o
35,c
35,w
35,ap
36,s
36,b
36,p
36,ab
36,f
36,c
37,r
37,b
37,ac
37,f
37,am
37,c
37,z
37,j
37,v
37,ac
37,aq
37,am
37,v
37,j
37,ar
37,ac
37,am
37,ac
37,am
37,j
37,ac
37,ao
37,an
37,ak
37,m
38,d
38,h
38,ai
38,n
38,g
38,af
38,g
38,h
38,ad
38,ai
38,c
38,o
38,w
38,ap
39,i
39,al
39,a
39,k
39,t
39,a
39,al
39,i
39,k
39,ad
39,e
39,t
39,c
39,a
39,t
39,a
39,t
39,a
39,u
40,ab
40,a
40,f
40,ae
40,u
40,ag
40,c
41,p
41,g
41,ad
41,e
41,c
42,h
42,g
42,ai
42,o
42,d
42,w
42,ap
42,ad
42,c
43,ac
43,j
43,al
43,d
43,an
43,i
43,ao
43,r
43,k
43,z
43,aj
43,v
43,ad
43,ac
43,aq
43,e
43,an
43,v
43,aq
43,c
43,aj
43,v
43,ac
43,aq
43,am
43,v
43,ac
43,ar
43,am
43,ac
43,an
43,aj
43,ac
43,an
43,ak
43,l
43,j
43,r
43,ao
43,ac
43,z
43,am
43,v
43,ar
43,ac
43,am
43,ac
43,an
43,ak
43,l
43,ac
43,r
43,am
43,j
43,z
43,ac
43,ao
43,v
43,ar
43,am
43,ac
43,am
43,ac
43,am
43,ac
43,am
43,ac
43,an
43,ak
43,l
43,r
43,z
43,j
43,v
43,ac
43,aq
43,j
43,v
43,an
43,aq
43,aj
43,j
43,v
43,ac
43,aq
43,am
43,v
43,j
43,ac
43,aq
43,an
43,ak
43,j
43,v
43,ar
43,j
43,ao
43,l
43,r
43,ac
43,an
43,aj
43,j
43,z
43,ac
